cell_index,endpoint_distance_20d,path_length_20d,straightness_ratio_20d,quantile_group
62,10.72163097263167,11.342310803561071,1.0578904303378622,middle
63,10.36142925539077,11.163685564524426,1.0774271858987277,middle
64,9.0524807049056,9.35929457258185,1.0338927944369973,middle
65,8.96857635174925,9.441312205959683,1.0527102447110492,middle
66,14.090828639163831,14.474317348953997,1.0272154831777816,middle
67,7.229273267120138,7.820185839356431,1.0817388623174415,middle
68,6.186217793696177,6.9779341872093354,1.127980685439159,upper_quantile
69,16.2535062834398,16.553977160277043,1.0184865266360024,lower_quantile
70,19.94533437094564,20.092776153980516,1.0073922943728462,lower_quantile
71,12.605390530739047,12.845441302494452,1.019043501363169,lower_quantile
72,13.958066432517963,14.44362893948321,1.0347872328386427,middle
73,18.084796859033524,18.306270518307098,1.0122464001669416,lower_quantile
74,12.647550152026904,12.97160605271461,1.0256220293094291,middle
75,6.694925183221557,7.792466634719857,1.163936328108475,upper_quantile
76,7.85204213520989,8.194396021177885,1.043600617530161,middle
77,8.47824282939856,8.959585500882364,1.0567738717997948,middle
78,7.3368998930500755,7.8140407441614785,1.0650330327613406,middle
79,11.278811583119001,11.722458043010622,1.0393345040496667,middle
80,12.836403417380076,12.98106563890116,1.0112696848811418,lower_quantile
81,10.303802547053833,11.201260523794467,1.087099686998296,middle
82,11.262100972020066,11.715036272624541,1.0402176558112701,middle
83,8.96436270501439,9.677409485225239,1.0795423839568643,middle
84,15.01540972123485,15.15477705172719,1.0092816202208088,lower_quantile
85,15.04296795621562,15.947187955670339,1.0601091488120271,middle
86,14.43099240023461,14.67752927154894,1.017083847352752,lower_quantile
87,14.098599105647594,14.327385069748296,1.0162275671778662,lower_quantile
88,9.706272906136217,10.346492828231723,1.065959398451569,middle
89,10.306008100328262,11.378012185972775,1.1040173921084313,upper_quantile
90,10.837083202366859,11.111165422894244,1.025291142958792,lower_quantile
91,6.848558840192846,7.614600259297815,1.1118543969585575,upper_quantile
92,18.660023018444004,18.969325942406336,1.0165756989504573,lower_quantile
93,13.665954305812232,13.815196303249627,1.0109207153849418,lower_quantile
94,10.964194749118663,11.487661247980641,1.047743268962279,middle
95,6.067109574384593,6.678306241473528,1.10073934871218,upper_quantile
96,9.53126841178766,10.034032296290722,1.0527488958218063,middle
97,9.755487129251978,10.170283084969439,1.0425192458584347,middle
98,13.597127787847338,13.804162860928631,1.0152263828296395,lower_quantile
99,16.12751121796511,16.294981396663065,1.01038413034935,lower_quantile
100,9.580681328400836,10.565915082487074,1.1028354581803723,upper_quantile
101,12.33007830719005,12.927780869317822,1.0484751635177558,middle
102,16.592198235720225,16.87185825311656,1.0168549105684064,lower_quantile
103,10.134570434482805,10.560165594167469,1.0419943955627935,middle
104,8.4339307840468,8.905196905315606,1.0558773996770556,middle
105,6.342645247279187,8.906745502363343,1.4042635454322596,upper_quantile
106,6.567439831277199,7.294231344675944,1.1106658807801215,upper_quantile
107,9.048424880849415,9.851005572193221,1.0886983869471505,middle
108,13.972633926255188,14.369079348820136,1.0283729914243305,middle
109,7.823176735564777,8.399732485638085,1.0736984181185936,middle
110,11.841522659749474,12.290403458406791,1.037907354616067,middle
111,6.843480701517062,7.347762418978522,1.0736878993974033,middle
112,13.86075308641277,14.486032892038011,1.0451115319439737,middle
113,6.460050548511385,7.340610582600947,1.1363085362068062,upper_quantile
114,13.157970872996653,13.45885603822657,1.0228671402402483,lower_quantile
115,12.059543585928614,12.69718413206505,1.0528743514705194,middle
116,11.626231664952936,12.058259674368033,1.0371597626699145,middle
117,12.66446109193367,12.850114949015627,1.014659436018182,lower_quantile
118,9.828792924876149,10.445902393148863,1.0627858856107186,middle
119,7.395942988814765,8.083422238772881,1.09295356264885,upper_quantile
120,14.880431516863943,15.157566939450831,1.0186241522816601,lower_quantile
121,7.7847168084713445,8.66550583120976,1.1131433608194892,upper_quantile
122,13.224495746931854,13.63053583473655,1.0307036347982417,middle
123,6.79748516680326,7.446678639576894,1.0955049487925457,upper_quantile
124,8.289399794875504,8.882264041141914,1.0715207688055917,middle
125,17.64330648775717,17.79776656564084,1.0087545992578462,lower_quantile
126,12.60649442123569,13.033689611671123,1.0338869138525792,middle
127,15.56005825994425,16.25983788824226,1.0449728154360083,middle
128,7.469090376471866,8.657888585853259,1.1591623811550316,upper_quantile
129,12.818879118332234,12.94619755526908,1.009932103716835,lower_quantile
130,12.828364542161408,13.064894936376431,1.0184380786371987,lower_quantile
131,5.957189744532995,6.733400565638962,1.1302981530541827,upper_quantile
132,7.705605679171422,8.066113763176546,1.046785171603005,middle
133,8.487334474438118,8.920350127168543,1.0510190394916765,middle
134,7.000122955642439,7.6696581536238755,1.0956462053915437,upper_quantile
135,8.138921990677247,8.627154291926407,1.0599873425262472,middle
136,16.377011576503794,16.7948339016051,1.0255127330862217,middle
137,10.186551962915548,10.642908648282365,1.0447999172858684,middle
138,15.37180510587139,15.87930327603,1.0330148714912322,middle
139,16.51114286381354,16.744574668769527,1.0141378344843461,lower_quantile
140,14.550965046948539,15.113000077541344,1.0386252752844505,middle
141,18.457146387179247,18.89676373381646,1.023818272739202,lower_quantile
142,7.734447139090293,8.413605919771292,1.0878096092025111,middle
